,DSFA,randompatch
1,0.652,0.618
2,0.671,0.605
3,0.603,0.624
4,0.684,0.625
5,0.664,0.598
6,0.635,0.596
7,0.645,0.612
8,0.684,0.615
9,0.67,0.665
10,0.668,0.613
11,0.672,0.592
12,0.653,0.593
13,0.681,0.596
14,0.64,0.591
15,0.662,0.616
16,0.654,0.61
17,0.654,0.613
18,0.635,0.625
19,0.66,0.6
20,0.652,0.614
21,0.667,0.611
22,0.657,0.613
23,0.657,0.59
24,0.687,0.614
25,0.673,0.609
26,0.668,0.597
27,0.692,0.571
28,0.661,0.608
29,0.679,0.611
30,0.682,0.641
31,0.636,0.602
32,0.663,0.627
33,0.664,0.614
34,0.674,0.617
35,0.675,0.632
36,0.652,0.605
37,0.67,0.617
38,0.633,0.597
39,0.647,0.59
40,0.641,0.612
41,0.649,0.59
42,0.67,0.624
43,0.627,0.594
44,0.689,0.612
45,0.653,0.588
46,0.67,0.599
47,0.666,0.586
48,0.669,0.606
49,0.674,0.577
50,0.677,0.612
51,0.679,0.604
52,0.655,0.612
53,0.68,0.622
54,0.673,0.607
55,0.658,0.569
56,0.676,0.603
57,0.689,0.628
58,0.674,0.617
59,0.697,0.626
60,0.656,0.621
61,0.671,0.606
62,0.671,0.6
63,0.632,0.585
64,0.664,0.629
65,0.668,0.613
66,0.64,0.576
67,0.686,0.608
68,0.665,0.601
69,0.66,0.594
70,0.666,0.618
71,0.667,0.624
72,0.627,0.597
73,0.663,0.617
74,0.669,0.602
75,0.65,0.616
76,0.654,0.611
77,0.694,0.626
78,0.675,0.628
79,0.654,0.594
80,0.662,0.589
81,0.644,0.599
82,0.642,0.573
83,0.68,0.616
84,0.673,0.609
85,0.703,0.649
86,0.659,0.601
87,0.69,0.612
88,0.658,0.59
89,0.653,0.609
90,0.693,0.621
91,0.681,0.608
92,0.67,0.618
93,0.673,0.62
94,0.683,0.652
95,0.673,0.608
96,0.691,0.625
97,0.68,0.629
98,0.682,0.611
99,0.673,0.61
