,DSFA,randompatch
1,0.496,0.504
2,0.465,0.465
3,0.506,0.476
4,0.516,0.504
5,0.504,0.504
6,0.485,0.503
7,0.491,0.495
8,0.494,0.5
9,0.491,0.476
10,0.496,0.491
11,0.494,0.48
12,0.513,0.513
13,0.481,0.481
14,0.515,0.535
15,0.522,0.478
16,0.5,0.5
17,0.471,0.529
18,0.493,0.507
19,0.507,0.513
20,0.504,0.504
21,0.466,0.502
22,0.505,0.495
23,0.493,0.493
24,0.476,0.522
25,0.483,0.483
26,0.495,0.505
27,0.509,0.473
28,0.484,0.484
29,0.525,0.475
30,0.497,0.487
31,0.496,0.504
32,0.482,0.51
33,0.49,0.49
34,0.506,0.512
35,0.502,0.502
36,0.49,0.51
37,0.492,0.508
38,0.509,0.503
39,0.49,0.49
40,0.527,0.529
41,0.549,0.482
42,0.51,0.475
43,0.523,0.499
44,0.499,0.519
45,0.504,0.496
46,0.532,0.492
47,0.516,0.494
48,0.486,0.499
49,0.476,0.476
50,0.472,0.474
51,0.499,0.501
52,0.496,0.515
53,0.504,0.496
54,0.495,0.495
55,0.47,0.504
56,0.506,0.517
57,0.51,0.503
58,0.512,0.512
59,0.49,0.49
60,0.517,0.491
61,0.49,0.49
62,0.482,0.48
63,0.506,0.506
64,0.479,0.479
65,0.485,0.488
66,0.523,0.492
67,0.513,0.486
68,0.453,0.506
69,0.497,0.502
70,0.472,0.528
71,0.491,0.509
72,0.529,0.529
73,0.499,0.501
74,0.489,0.489
75,0.505,0.505
76,0.493,0.493
77,0.496,0.496
78,0.524,0.476
79,0.483,0.483
80,0.48,0.475
81,0.476,0.499
82,0.481,0.481
83,0.49,0.489
84,0.493,0.499
85,0.491,0.491
86,0.495,0.495
87,0.482,0.512
88,0.51,0.51
89,0.495,0.505
90,0.502,0.502
91,0.504,0.504
92,0.524,0.469
93,0.489,0.486
94,0.519,0.481
95,0.507,0.507
96,0.497,0.503
97,0.526,0.526
98,0.48,0.48
99,0.523,0.523
