,DSFA,randompatch
1,0.818,0.729
2,0.754,0.699
3,0.78,0.726
4,0.786,0.674
5,0.718,0.722
6,0.775,0.698
7,0.794,0.698
8,0.801,0.712
9,0.805,0.714
10,0.786,0.688
11,0.799,0.718
12,0.824,0.749
13,0.799,0.695
14,0.798,0.72
15,0.801,0.7
16,0.793,0.701
17,0.795,0.696
18,0.824,0.719
19,0.819,0.714
20,0.804,0.716
21,0.818,0.713
22,0.79,0.684
23,0.806,0.693
24,0.808,0.71
25,0.813,0.712
26,0.814,0.703
27,0.804,0.693
28,0.813,0.711
29,0.82,0.719
30,0.815,0.745
31,0.794,0.701
32,0.842,0.739
33,0.817,0.712
34,0.805,0.702
35,0.79,0.702
36,0.792,0.702
37,0.833,0.693
38,0.811,0.714
39,0.81,0.727
40,0.818,0.716
41,0.792,0.68
42,0.811,0.695
43,0.807,0.696
44,0.801,0.71
45,0.817,0.733
46,0.812,0.715
47,0.821,0.708
48,0.828,0.715
49,0.815,0.71
50,0.842,0.721
51,0.821,0.731
52,0.809,0.692
53,0.808,0.71
54,0.804,0.689
55,0.799,0.716
56,0.818,0.71
57,0.824,0.717
58,0.795,0.728
59,0.802,0.684
60,0.82,0.703
61,0.796,0.711
62,0.803,0.694
63,0.803,0.7
64,0.807,0.71
65,0.792,0.706
66,0.819,0.704
67,0.81,0.721
68,0.81,0.696
69,0.811,0.702
70,0.822,0.715
71,0.814,0.722
72,0.807,0.716
73,0.812,0.699
74,0.811,0.706
75,0.83,0.714
76,0.809,0.709
77,0.818,0.704
78,0.836,0.713
79,0.813,0.739
80,0.799,0.698
81,0.823,0.703
82,0.825,0.725
83,0.828,0.734
84,0.82,0.719
85,0.823,0.712
86,0.819,0.747
87,0.831,0.734
88,0.818,0.717
89,0.807,0.714
90,0.805,0.702
91,0.811,0.713
92,0.792,0.685
93,0.832,0.746
94,0.816,0.739
95,0.795,0.702
96,0.813,0.693
97,0.806,0.734
98,0.815,0.706
99,0.815,0.706
