,DSFA,randompatch
1,0.912,0.802
2,0.917,0.788
3,0.897,0.798
4,0.931,0.81
5,0.932,0.74
6,0.94,0.76
7,0.932,0.799
8,0.931,0.774
9,0.945,0.792
10,0.945,0.829
11,0.943,0.775
12,0.942,0.753
13,0.939,0.78
14,0.954,0.842
15,0.96,0.776
16,0.939,0.779
17,0.95,0.781
18,0.954,0.761
19,0.945,0.782
20,0.949,0.79
21,0.944,0.751
22,0.951,0.807
23,0.955,0.734
24,0.956,0.788
25,0.963,0.809
26,0.96,0.786
27,0.948,0.787
28,0.964,0.815
29,0.964,0.801
30,0.961,0.81
31,0.951,0.769
32,0.954,0.801
33,0.971,0.816
34,0.972,0.793
35,0.949,0.767
36,0.958,0.847
37,0.959,0.792
38,0.959,0.766
39,0.953,0.819
40,0.947,0.783
41,0.953,0.804
42,0.955,0.791
43,0.959,0.809
44,0.952,0.78
45,0.94,0.765
46,0.952,0.817
47,0.959,0.785
48,0.964,0.798
49,0.959,0.833
50,0.957,0.779
51,0.961,0.801
52,0.951,0.767
53,0.957,0.782
54,0.956,0.775
55,0.953,0.782
56,0.951,0.808
57,0.95,0.76
58,0.958,0.796
59,0.961,0.765
60,0.957,0.799
61,0.965,0.821
62,0.949,0.774
63,0.952,0.776
64,0.952,0.745
65,0.953,0.868
66,0.961,0.779
67,0.947,0.758
68,0.944,0.81
69,0.953,0.755
70,0.948,0.818
71,0.939,0.771
72,0.957,0.784
73,0.947,0.784
74,0.956,0.744
75,0.946,0.821
76,0.952,0.806
77,0.955,0.797
78,0.942,0.76
79,0.949,0.773
80,0.965,0.771
81,0.948,0.782
82,0.946,0.803
83,0.955,0.787
84,0.953,0.776
85,0.936,0.78
86,0.946,0.823
87,0.948,0.779
88,0.948,0.759
89,0.958,0.786
90,0.959,0.775
91,0.97,0.808
92,0.967,0.772
93,0.957,0.799
94,0.957,0.729
95,0.96,0.78
96,0.966,0.772
97,0.957,0.782
98,0.959,0.772
99,0.949,0.754
