,DSFA,randompatch
1,0.975,0.974
2,0.984,0.971
3,0.983,0.971
4,1.0,0.989
5,0.997,0.97
6,0.998,0.975
7,0.997,0.973
8,0.998,0.978
9,0.999,0.967
10,0.999,0.981
11,0.999,0.974
12,0.993,0.983
13,0.996,0.979
14,0.996,0.974
15,0.999,0.977
16,0.999,0.983
17,0.999,0.971
18,0.997,0.978
19,0.996,0.977
20,0.995,0.974
21,0.998,0.972
22,0.998,0.977
23,0.999,0.967
24,0.995,0.977
25,0.999,0.98
26,0.997,0.981
27,0.998,0.98
28,0.994,0.964
29,0.997,0.98
30,0.998,0.978
31,0.997,0.985
32,0.999,0.972
33,0.999,0.979
34,1.0,0.978
35,0.999,0.981
36,0.996,0.978
37,1.0,0.979
38,0.997,0.98
39,1.0,0.974
40,0.999,0.974
41,0.999,0.984
42,0.999,0.98
43,0.998,0.974
44,0.996,0.981
45,0.998,0.98
46,0.998,0.979
47,0.998,0.983
48,0.999,0.974
49,0.997,0.982
50,0.998,0.978
51,1.0,0.98
52,1.0,0.978
53,0.998,0.982
54,0.999,0.975
55,0.997,0.981
56,0.995,0.979
57,0.992,0.976
58,0.999,0.978
59,0.999,0.973
60,0.999,0.988
61,1.0,0.97
62,0.997,0.977
63,0.999,0.974
64,1.0,0.981
65,0.999,0.972
66,0.999,0.979
67,1.0,0.974
68,1.0,0.985
69,1.0,0.986
70,0.998,0.979
71,0.998,0.974
72,0.997,0.972
73,0.999,0.974
74,0.998,0.973
75,0.998,0.961
76,1.0,0.969
77,1.0,0.985
78,0.998,0.983
79,0.999,0.98
80,0.998,0.965
81,1.0,0.982
82,0.997,0.976
83,0.998,0.971
84,0.999,0.979
85,0.999,0.985
86,0.997,0.966
87,0.999,0.989
88,0.999,0.987
89,0.998,0.98
90,0.999,0.981
91,1.0,0.982
92,0.999,0.976
93,0.999,0.971
94,0.997,0.967
95,0.999,0.974
96,0.998,0.976
97,1.0,0.984
98,1.0,0.977
99,0.998,0.98
