,DSFA,randompatch
1,0.654,0.786
2,0.672,0.766
3,0.687,0.777
4,0.669,0.804
5,0.689,0.775
6,0.672,0.76
7,0.674,0.794
8,0.687,0.743
9,0.694,0.792
10,0.688,0.806
11,0.7,0.789
12,0.682,0.771
13,0.649,0.794
14,0.7,0.787
15,0.676,0.811
16,0.71,0.792
17,0.655,0.809
18,0.709,0.78
19,0.708,0.787
20,0.714,0.771
21,0.707,0.79
22,0.722,0.788
23,0.706,0.803
24,0.716,0.769
25,0.713,0.771
26,0.716,0.748
27,0.722,0.785
28,0.722,0.782
29,0.715,0.779
30,0.733,0.772
31,0.727,0.79
32,0.744,0.776
33,0.718,0.783
34,0.737,0.803
35,0.742,0.771
36,0.757,0.772
37,0.779,0.799
38,0.757,0.769
39,0.758,0.767
40,0.773,0.774
41,0.788,0.795
42,0.774,0.788
43,0.768,0.794
44,0.769,0.78
45,0.771,0.78
46,0.779,0.788
47,0.773,0.799
48,0.758,0.788
49,0.769,0.777
50,0.782,0.794
51,0.783,0.781
52,0.792,0.782
53,0.804,0.784
54,0.793,0.791
55,0.776,0.797
56,0.766,0.779
57,0.789,0.761
58,0.766,0.783
59,0.79,0.764
60,0.767,0.816
61,0.799,0.794
62,0.824,0.789
63,0.809,0.807
64,0.779,0.807
65,0.802,0.789
66,0.804,0.785
67,0.798,0.771
68,0.797,0.773
69,0.786,0.786
70,0.822,0.786
71,0.82,0.797
72,0.806,0.786
73,0.802,0.794
74,0.808,0.745
75,0.818,0.795
76,0.812,0.755
77,0.816,0.773
78,0.813,0.775
79,0.792,0.768
80,0.815,0.772
81,0.806,0.802
82,0.792,0.795
83,0.808,0.766
84,0.807,0.786
85,0.82,0.766
86,0.815,0.797
87,0.79,0.781
88,0.826,0.774
89,0.799,0.784
90,0.795,0.808
91,0.808,0.796
92,0.798,0.765
93,0.801,0.779
94,0.823,0.799
95,0.807,0.779
96,0.822,0.798
97,0.803,0.804
98,0.805,0.759
99,0.798,0.795
