,DSFA,randompatch
1,0.648,0.921
2,0.644,0.939
3,0.754,0.945
4,0.804,0.927
5,0.808,0.919
6,0.847,0.942
7,0.816,0.937
8,0.822,0.928
9,0.811,0.918
10,0.79,0.938
11,0.825,0.936
12,0.848,0.937
13,0.846,0.931
14,0.878,0.94
15,0.881,0.929
16,0.876,0.939
17,0.865,0.942
18,0.884,0.94
19,0.879,0.933
20,0.879,0.931
21,0.878,0.94
22,0.896,0.916
23,0.864,0.938
24,0.878,0.913
25,0.853,0.925
26,0.872,0.933
27,0.884,0.925
28,0.888,0.931
29,0.884,0.93
30,0.873,0.932
31,0.897,0.94
32,0.894,0.935
33,0.881,0.938
34,0.896,0.931
35,0.902,0.931
36,0.899,0.929
37,0.875,0.927
38,0.919,0.924
39,0.908,0.922
40,0.912,0.939
41,0.89,0.917
42,0.894,0.929
43,0.898,0.935
44,0.891,0.934
45,0.906,0.935
46,0.9,0.92
47,0.903,0.927
48,0.897,0.93
49,0.902,0.924
50,0.883,0.921
51,0.896,0.933
52,0.907,0.935
53,0.906,0.931
54,0.895,0.932
55,0.921,0.953
56,0.893,0.942
57,0.9,0.93
58,0.907,0.937
59,0.903,0.929
60,0.914,0.938
61,0.916,0.927
62,0.904,0.935
63,0.892,0.929
64,0.912,0.937
65,0.917,0.936
66,0.902,0.917
67,0.904,0.927
68,0.904,0.94
69,0.91,0.928
70,0.915,0.926
71,0.911,0.934
72,0.896,0.94
73,0.912,0.931
74,0.907,0.932
75,0.904,0.933
76,0.912,0.935
77,0.908,0.928
78,0.902,0.924
79,0.886,0.927
80,0.917,0.936
81,0.909,0.937
82,0.912,0.933
83,0.906,0.917
84,0.91,0.93
85,0.909,0.923
86,0.925,0.932
87,0.928,0.941
88,0.904,0.924
89,0.914,0.935
90,0.92,0.924
91,0.902,0.927
92,0.907,0.93
93,0.905,0.926
94,0.902,0.928
95,0.913,0.928
96,0.921,0.934
97,0.91,0.94
98,0.916,0.926
99,0.897,0.922
