,DSFA,randompatch
1,0.622,0.625
2,0.641,0.638
3,0.593,0.632
4,0.602,0.636
5,0.63,0.64
6,0.645,0.628
7,0.613,0.599
8,0.639,0.666
9,0.614,0.621
10,0.597,0.613
11,0.635,0.638
12,0.637,0.627
13,0.653,0.637
14,0.631,0.615
15,0.642,0.607
16,0.602,0.597
17,0.626,0.581
18,0.655,0.616
19,0.691,0.651
20,0.642,0.659
21,0.674,0.611
22,0.683,0.638
23,0.689,0.654
24,0.687,0.615
25,0.67,0.63
26,0.709,0.634
27,0.675,0.643
28,0.69,0.605
29,0.724,0.629
30,0.696,0.612
31,0.69,0.63
32,0.718,0.63
33,0.685,0.629
34,0.712,0.639
35,0.683,0.631
36,0.709,0.63
37,0.714,0.623
38,0.72,0.665
39,0.717,0.626
40,0.714,0.639
41,0.721,0.636
42,0.717,0.647
43,0.73,0.642
44,0.707,0.62
45,0.717,0.633
46,0.719,0.613
47,0.718,0.624
48,0.724,0.606
49,0.722,0.624
50,0.687,0.64
51,0.726,0.618
52,0.738,0.618
53,0.739,0.624
54,0.728,0.601
55,0.728,0.623
56,0.746,0.618
57,0.733,0.64
58,0.731,0.631
59,0.735,0.654
60,0.745,0.614
61,0.687,0.618
62,0.73,0.613
63,0.761,0.618
64,0.749,0.63
65,0.742,0.623
66,0.733,0.632
67,0.74,0.626
68,0.755,0.638
69,0.749,0.624
70,0.756,0.649
71,0.739,0.642
72,0.754,0.632
73,0.741,0.639
74,0.759,0.638
75,0.781,0.631
76,0.783,0.605
77,0.75,0.647
78,0.75,0.633
79,0.771,0.65
80,0.772,0.631
81,0.766,0.651
82,0.758,0.631
83,0.76,0.625
84,0.749,0.623
85,0.761,0.595
86,0.759,0.637
87,0.776,0.611
88,0.781,0.635
89,0.738,0.642
90,0.727,0.622
91,0.758,0.616
92,0.754,0.642
93,0.761,0.638
94,0.767,0.666
95,0.782,0.629
96,0.767,0.638
97,0.771,0.634
98,0.768,0.6
99,0.757,0.631
