,DSFA,DWM,AWE,Batch_I,ARF,AEE,LeverBagg,OzaBagg,SRP,oBoost
1,0.967,0.933,0.5,0.949,0.982,0.932,0.946,0.969,0.977,0.889
2,0.971,0.943,0.5,0.975,0.989,0.94,0.955,0.972,0.982,0.882
3,0.971,0.94,0.5,0.975,0.981,0.941,0.947,0.973,0.98,0.906
4,0.965,0.943,0.5,0.986,0.991,0.942,0.948,0.966,0.993,0.917
5,0.985,0.952,0.5,0.98,0.99,0.954,0.936,0.974,0.984,0.883
6,0.978,0.94,0.5,0.981,0.988,0.934,0.938,0.971,0.979,0.909
7,0.978,0.943,0.5,0.981,0.996,0.95,0.959,0.969,0.982,0.934
8,0.984,0.938,0.5,0.98,0.996,0.935,0.938,0.97,0.981,0.887
9,0.982,0.923,0.5,0.979,0.995,0.922,0.952,0.968,0.981,0.882
10,0.977,0.948,0.5,0.98,0.993,0.944,0.942,0.974,0.98,0.922
11,0.986,0.945,0.5,0.982,0.992,0.941,0.949,0.98,0.979,0.903
12,0.98,0.935,0.5,0.978,0.992,0.935,0.926,0.953,0.976,0.918
13,0.985,0.942,0.5,0.975,0.995,0.938,0.937,0.973,0.979,0.9
14,0.984,0.943,0.5,0.978,0.994,0.942,0.951,0.972,0.981,0.878
15,0.988,0.953,0.5,0.984,0.993,0.951,0.936,0.97,0.979,0.926
16,0.992,0.957,0.5,0.985,0.994,0.957,0.958,0.979,0.986,0.872
17,0.986,0.953,0.5,0.981,0.991,0.943,0.958,0.97,0.982,0.949
18,0.988,0.95,0.5,0.984,0.997,0.95,0.949,0.98,0.983,0.875
19,0.985,0.929,0.5,0.982,0.996,0.94,0.957,0.98,0.985,0.945
20,0.988,0.926,0.5,0.987,0.997,0.952,0.942,0.978,0.988,0.815
21,0.982,0.94,0.5,0.974,0.991,0.939,0.911,0.963,0.976,0.882
22,0.985,0.928,0.5,0.977,0.994,0.932,0.921,0.967,0.981,0.861
23,0.983,0.937,0.5,0.978,0.996,0.937,0.943,0.969,0.979,0.903
24,0.989,0.938,0.5,0.982,0.998,0.939,0.951,0.974,0.982,0.892
25,0.993,0.953,0.5,0.986,0.997,0.956,0.937,0.978,0.982,0.917
26,0.982,0.943,0.5,0.97,0.99,0.944,0.917,0.96,0.968,0.849
27,0.983,0.947,0.5,0.985,0.998,0.948,0.96,0.975,0.984,0.907
28,0.99,0.924,0.5,0.974,0.995,0.933,0.948,0.973,0.978,0.834
29,0.988,0.945,0.5,0.982,0.996,0.948,0.958,0.974,0.979,0.893
30,0.99,0.949,0.5,0.981,0.999,0.949,0.939,0.97,0.986,0.929
31,0.993,0.945,0.5,0.988,0.998,0.945,0.965,0.974,0.992,0.942
32,0.992,0.949,0.5,0.982,0.998,0.949,0.947,0.968,0.983,0.872
33,0.99,0.945,0.5,0.977,0.994,0.944,0.945,0.966,0.978,0.9
34,0.988,0.944,0.5,0.983,0.996,0.945,0.932,0.972,0.984,0.885
35,0.988,0.932,0.5,0.98,0.997,0.933,0.941,0.974,0.989,0.929
36,0.986,0.938,0.5,0.982,0.995,0.943,0.953,0.971,0.982,0.868
37,0.986,0.941,0.5,0.975,0.989,0.943,0.942,0.967,0.969,0.922
38,0.99,0.955,0.5,0.983,0.998,0.957,0.942,0.968,0.983,0.916
39,0.994,0.933,0.5,0.978,0.998,0.935,0.951,0.968,0.979,0.901
40,0.989,0.95,0.5,0.98,0.999,0.95,0.967,0.979,0.983,0.881
41,0.989,0.907,0.5,0.972,0.994,0.935,0.931,0.976,0.978,0.915
42,0.986,0.94,0.5,0.976,0.992,0.942,0.931,0.966,0.974,0.9
43,0.995,0.937,0.5,0.979,0.996,0.934,0.942,0.976,0.984,0.899
44,0.995,0.944,0.5,0.976,0.997,0.946,0.953,0.977,0.985,0.93
45,0.995,0.949,0.5,0.98,0.999,0.948,0.952,0.976,0.985,0.944
46,0.988,0.943,0.5,0.973,0.993,0.947,0.948,0.966,0.976,0.942
47,0.994,0.958,0.5,0.982,0.996,0.954,0.92,0.977,0.989,0.933
48,0.993,0.947,0.5,0.978,0.996,0.946,0.957,0.973,0.983,0.886
49,0.992,0.949,0.5,0.979,0.995,0.945,0.951,0.975,0.982,0.854
50,0.99,0.942,0.5,0.975,0.996,0.945,0.943,0.97,0.978,0.901
51,0.989,0.944,0.5,0.977,0.998,0.944,0.943,0.97,0.972,0.923
52,0.99,0.941,0.5,0.985,0.998,0.942,0.944,0.976,0.985,0.88
53,0.985,0.941,0.5,0.981,0.996,0.942,0.943,0.957,0.98,0.877
54,0.984,0.938,0.5,0.978,0.996,0.942,0.936,0.969,0.979,0.853
55,0.988,0.945,0.5,0.975,0.994,0.943,0.931,0.973,0.981,0.902
56,0.988,0.938,0.5,0.979,0.997,0.935,0.938,0.962,0.977,0.875
57,0.993,0.947,0.5,0.977,0.996,0.948,0.942,0.969,0.988,0.854
58,0.992,0.946,0.5,0.986,0.998,0.95,0.946,0.974,0.986,0.922
59,0.991,0.945,0.5,0.982,0.996,0.942,0.953,0.962,0.979,0.892
60,0.992,0.94,0.5,0.976,0.994,0.935,0.925,0.953,0.975,0.847
61,0.997,0.937,0.5,0.979,0.997,0.931,0.955,0.972,0.987,0.913
62,0.996,0.955,0.5,0.983,0.998,0.954,0.971,0.975,0.985,0.921
63,0.991,0.936,0.5,0.977,0.996,0.933,0.935,0.968,0.982,0.907
64,0.995,0.954,0.5,0.978,0.996,0.955,0.922,0.967,0.977,0.895
65,0.988,0.947,0.5,0.985,0.996,0.942,0.937,0.969,0.98,0.914
66,0.995,0.95,0.5,0.976,0.999,0.951,0.927,0.961,0.979,0.904
67,0.993,0.952,0.5,0.981,0.996,0.953,0.955,0.976,0.982,0.932
68,0.993,0.943,0.5,0.977,0.998,0.946,0.94,0.969,0.98,0.906
69,0.992,0.935,0.5,0.978,0.997,0.934,0.941,0.976,0.982,0.934
70,0.992,0.954,0.5,0.986,1.0,0.955,0.941,0.97,0.986,0.91
71,0.997,0.941,0.5,0.973,0.998,0.941,0.955,0.962,0.976,0.907
72,0.99,0.947,0.5,0.979,0.995,0.947,0.936,0.97,0.979,0.846
73,0.995,0.946,0.5,0.982,0.996,0.943,0.93,0.965,0.976,0.909
74,0.994,0.953,0.5,0.983,0.997,0.952,0.949,0.975,0.982,0.909
75,0.997,0.932,0.5,0.979,0.998,0.936,0.942,0.97,0.979,0.94
76,0.991,0.94,0.5,0.977,0.995,0.939,0.949,0.959,0.977,0.861
77,0.994,0.947,0.5,0.985,0.998,0.947,0.938,0.969,0.984,0.926
78,0.993,0.942,0.5,0.974,0.994,0.941,0.954,0.973,0.985,0.899
79,0.994,0.943,0.5,0.974,0.997,0.942,0.939,0.97,0.984,0.91
80,0.995,0.932,0.5,0.97,0.995,0.93,0.936,0.973,0.984,0.88
81,0.992,0.945,0.5,0.981,0.998,0.945,0.928,0.966,0.979,0.919
82,0.998,0.956,0.5,0.986,0.999,0.954,0.931,0.98,0.987,0.872
83,0.998,0.952,0.5,0.976,0.996,0.952,0.942,0.972,0.98,0.929
84,0.996,0.946,0.5,0.98,0.996,0.943,0.945,0.966,0.976,0.916
85,0.994,0.943,0.5,0.985,0.996,0.953,0.95,0.974,0.994,0.886
86,0.99,0.944,0.5,0.978,0.995,0.949,0.951,0.971,0.969,0.937
