,DSFA,randompatch
1,0.862,0.938
2,0.87,0.941
3,0.881,0.933
4,0.893,0.932
5,0.885,0.924
6,0.893,0.935
7,0.901,0.928
8,0.852,0.944
9,0.89,0.928
10,0.905,0.933
11,0.921,0.953
12,0.912,0.918
13,0.914,0.939
14,0.895,0.935
15,0.903,0.921
16,0.895,0.94
17,0.902,0.922
18,0.919,0.938
19,0.924,0.914
20,0.921,0.936
21,0.901,0.933
22,0.928,0.954
23,0.936,0.955
24,0.911,0.93
25,0.92,0.933
26,0.916,0.908
27,0.844,0.956
28,0.925,0.934
29,0.926,0.935
30,0.919,0.922
31,0.929,0.948
32,0.915,0.938
33,0.936,0.941
34,0.915,0.923
35,0.917,0.916
36,0.932,0.947
37,0.942,0.936
38,0.93,0.935
39,0.949,0.94
40,0.94,0.926
41,0.953,0.938
42,0.942,0.936
43,0.934,0.926
44,0.939,0.944
45,0.949,0.935
46,0.958,0.944
47,0.957,0.932
48,0.945,0.93
49,0.946,0.919
50,0.941,0.923
51,0.938,0.929
52,0.945,0.924
53,0.94,0.935
54,0.945,0.942
55,0.951,0.929
56,0.952,0.945
57,0.945,0.937
58,0.943,0.956
59,0.93,0.928
60,0.957,0.945
61,0.949,0.942
62,0.935,0.927
63,0.947,0.947
64,0.944,0.946
65,0.932,0.939
66,0.952,0.946
67,0.951,0.93
68,0.945,0.939
69,0.947,0.936
70,0.943,0.936
71,0.953,0.936
72,0.938,0.934
73,0.942,0.956
74,0.952,0.93
75,0.938,0.93
76,0.954,0.94
77,0.953,0.94
78,0.942,0.936
79,0.944,0.945
80,0.957,0.934
81,0.966,0.933
82,0.952,0.937
83,0.953,0.931
84,0.96,0.946
85,0.969,0.942
86,0.968,0.932
87,0.958,0.938
88,0.958,0.93
89,0.959,0.938
90,0.959,0.932
91,0.957,0.93
92,0.972,0.939
93,0.969,0.925
94,0.964,0.95
95,0.972,0.931
96,0.968,0.949
97,0.96,0.925
98,0.975,0.948
99,0.955,0.926
