,DSFA,randompatch
1,0.874,0.88
2,0.839,0.883
3,0.879,0.879
4,0.858,0.863
5,0.863,0.854
6,0.853,0.876
7,0.888,0.88
8,0.88,0.879
9,0.864,0.865
10,0.886,0.877
11,0.904,0.864
12,0.871,0.9
13,0.875,0.875
14,0.888,0.888
15,0.868,0.87
16,0.879,0.862
17,0.88,0.892
18,0.873,0.891
19,0.86,0.872
20,0.891,0.876
21,0.884,0.876
22,0.886,0.883
23,0.891,0.883
24,0.848,0.882
25,0.868,0.868
26,0.889,0.864
27,0.888,0.871
28,0.885,0.881
29,0.91,0.885
30,0.898,0.867
31,0.901,0.876
32,0.898,0.88
33,0.869,0.881
34,0.888,0.889
35,0.884,0.879
36,0.888,0.885
37,0.888,0.876
38,0.879,0.868
39,0.912,0.899
40,0.904,0.895
41,0.896,0.891
42,0.881,0.859
43,0.894,0.884
44,0.887,0.886
45,0.897,0.884
46,0.875,0.86
47,0.886,0.869
48,0.881,0.877
49,0.876,0.863
50,0.859,0.841
51,0.886,0.875
52,0.862,0.884
53,0.876,0.879
54,0.893,0.883
55,0.884,0.875
56,0.887,0.872
57,0.897,0.881
58,0.885,0.876
59,0.895,0.862
60,0.897,0.866
61,0.902,0.876
62,0.901,0.89
63,0.91,0.886
64,0.891,0.87
65,0.904,0.889
66,0.882,0.859
67,0.878,0.865
68,0.897,0.862
69,0.873,0.862
70,0.894,0.875
71,0.882,0.888
72,0.9,0.871
73,0.875,0.855
74,0.904,0.875
75,0.896,0.877
76,0.901,0.867
77,0.887,0.884
78,0.89,0.885
79,0.897,0.893
80,0.863,0.87
81,0.879,0.865
82,0.892,0.881
83,0.88,0.87
84,0.89,0.894
85,0.891,0.887
86,0.894,0.875
87,0.883,0.872
88,0.89,0.882
89,0.888,0.871
90,0.896,0.896
91,0.905,0.898
92,0.887,0.871
93,0.896,0.875
94,0.896,0.885
95,0.882,0.864
96,0.89,0.878
97,0.899,0.889
98,0.878,0.872
99,0.901,0.879
