,GCUW,DWM,Batch_I,ARF,AEE,LeverBagg,OzaBagg,SRP,oBoost
1,0.912,0.92,0.922,0.912,0.92,0.726,0.832,0.894,0.718
2,0.922,0.906,0.94,0.926,0.908,0.736,0.836,0.89,0.702
3,0.928,0.912,0.944,0.936,0.912,0.75,0.854,0.894,0.796
4,0.924,0.888,0.932,0.916,0.89,0.766,0.832,0.89,0.778
5,0.942,0.924,0.948,0.942,0.92,0.726,0.844,0.89,0.65
6,0.922,0.916,0.938,0.94,0.916,0.756,0.856,0.892,0.772
7,0.952,0.934,0.946,0.944,0.934,0.79,0.882,0.916,0.71
8,0.914,0.878,0.914,0.924,0.884,0.774,0.842,0.894,0.808
9,0.932,0.9,0.916,0.914,0.902,0.76,0.834,0.888,0.728
10,0.952,0.912,0.942,0.948,0.91,0.716,0.84,0.896,0.704
11,0.936,0.904,0.916,0.928,0.912,0.744,0.848,0.882,0.888
12,0.938,0.918,0.954,0.948,0.924,0.754,0.848,0.902,0.81
13,0.95,0.934,0.932,0.948,0.934,0.808,0.862,0.918,0.696
14,0.94,0.916,0.934,0.934,0.922,0.742,0.87,0.89,0.806
15,0.918,0.914,0.93,0.916,0.918,0.818,0.854,0.886,0.598
16,0.934,0.898,0.938,0.94,0.912,0.732,0.852,0.892,0.714
17,0.922,0.908,0.918,0.928,0.908,0.786,0.836,0.87,0.842
18,0.928,0.906,0.924,0.918,0.902,0.75,0.856,0.89,0.664
19,0.912,0.906,0.898,0.916,0.906,0.758,0.832,0.88,0.712
20,0.894,0.88,0.876,0.886,0.892,0.742,0.816,0.864,0.732
21,0.884,0.892,0.874,0.876,0.88,0.734,0.824,0.842,0.724
22,0.884,0.89,0.85,0.888,0.858,0.686,0.81,0.842,0.81
23,0.832,0.888,0.834,0.856,0.856,0.762,0.822,0.82,0.728
24,0.83,0.868,0.812,0.836,0.824,0.73,0.816,0.812,0.69
25,0.674,0.878,0.768,0.818,0.808,0.73,0.81,0.768,0.744
26,0.836,0.854,0.772,0.814,0.778,0.754,0.8,0.762,0.644
27,0.86,0.902,0.714,0.844,0.762,0.796,0.828,0.748,0.834
