,GCUW,DWM,Batch_I,ARF,AEE,LeverBagg,OzaBagg,SRP,oBoost
1,0.926,0.952,0.958,0.948,0.954,0.926,0.94,0.948,0.952
2,0.95,0.954,0.958,0.954,0.954,0.928,0.948,0.956,0.94
3,0.948,0.95,0.956,0.964,0.948,0.94,0.964,0.96,0.916
4,0.952,0.95,0.94,0.954,0.95,0.95,0.962,0.962,0.946
5,0.954,0.962,0.956,0.97,0.958,0.952,0.964,0.966,0.9
6,0.954,0.948,0.964,0.962,0.95,0.948,0.96,0.964,0.954
7,0.954,0.952,0.948,0.956,0.948,0.938,0.95,0.948,0.924
8,0.946,0.938,0.95,0.954,0.942,0.924,0.95,0.956,0.928
9,0.948,0.946,0.946,0.966,0.948,0.94,0.946,0.948,0.896
10,0.968,0.966,0.95,0.978,0.962,0.926,0.97,0.956,0.9
11,0.954,0.948,0.962,0.966,0.95,0.938,0.966,0.962,0.942
12,0.954,0.958,0.954,0.968,0.954,0.958,0.964,0.962,0.956
13,0.952,0.968,0.94,0.976,0.958,0.952,0.952,0.956,0.87
14,0.954,0.952,0.944,0.958,0.954,0.938,0.942,0.948,0.944
15,0.958,0.954,0.94,0.964,0.948,0.938,0.95,0.952,0.94
16,0.946,0.926,0.942,0.968,0.926,0.934,0.964,0.952,0.942
17,0.95,0.946,0.948,0.974,0.934,0.94,0.952,0.956,0.922
18,0.93,0.938,0.934,0.962,0.928,0.926,0.944,0.95,0.866
19,0.938,0.936,0.93,0.944,0.934,0.932,0.928,0.934,0.93
20,0.942,0.936,0.932,0.952,0.93,0.914,0.936,0.942,0.936
21,0.966,0.968,0.96,0.972,0.964,0.958,0.97,0.966,0.908
22,0.94,0.942,0.938,0.96,0.936,0.938,0.956,0.952,0.934
23,0.96,0.952,0.952,0.962,0.95,0.936,0.96,0.96,0.874
24,0.956,0.962,0.956,0.964,0.956,0.956,0.956,0.954,0.93
25,0.952,0.948,0.942,0.962,0.944,0.93,0.948,0.944,0.94
26,0.964,0.966,0.96,0.974,0.964,0.928,0.968,0.968,0.932
27,0.944,0.95,0.962,0.97,0.95,0.954,0.962,0.966,0.948
28,0.942,0.932,0.922,0.95,0.924,0.916,0.932,0.938,0.89
29,0.944,0.936,0.934,0.968,0.932,0.94,0.958,0.954,0.858
30,0.952,0.952,0.962,0.968,0.962,0.952,0.95,0.948,0.944
31,0.948,0.94,0.948,0.972,0.942,0.926,0.958,0.964,0.938
32,0.938,0.94,0.938,0.966,0.94,0.952,0.956,0.964,0.848
33,0.948,0.956,0.958,0.97,0.956,0.958,0.962,0.966,0.942
34,0.94,0.96,0.95,0.968,0.952,0.938,0.956,0.954,0.932
35,0.932,0.966,0.96,0.966,0.956,0.956,0.962,0.966,0.946
36,0.938,0.946,0.952,0.966,0.944,0.934,0.962,0.952,0.904
37,0.944,0.962,0.954,0.974,0.954,0.938,0.96,0.962,0.92
38,0.952,0.954,0.956,0.954,0.946,0.946,0.952,0.96,0.93
39,0.938,0.958,0.954,0.972,0.952,0.93,0.956,0.958,0.916
40,0.934,0.938,0.946,0.954,0.944,0.94,0.952,0.95,0.944
41,0.94,0.932,0.942,0.964,0.94,0.936,0.926,0.938,0.89
42,0.954,0.954,0.962,0.97,0.962,0.948,0.956,0.958,0.946
43,0.952,0.956,0.946,0.966,0.96,0.94,0.952,0.948,0.952
44,0.954,0.954,0.968,0.964,0.966,0.93,0.958,0.964,0.942
45,0.928,0.936,0.948,0.964,0.948,0.922,0.944,0.946,0.928
46,0.956,0.96,0.94,0.958,0.942,0.924,0.946,0.944,0.902
47,0.934,0.93,0.924,0.956,0.934,0.94,0.94,0.946,0.92
48,0.958,0.956,0.964,0.97,0.954,0.95,0.96,0.97,0.882
49,0.944,0.94,0.952,0.956,0.946,0.93,0.954,0.952,0.916
50,0.96,0.956,0.952,0.972,0.964,0.95,0.958,0.956,0.88
51,0.956,0.948,0.95,0.966,0.954,0.954,0.952,0.958,0.94
52,0.958,0.958,0.95,0.972,0.95,0.946,0.956,0.958,0.952
53,0.948,0.948,0.95,0.958,0.942,0.948,0.962,0.956,0.942
54,0.964,0.964,0.96,0.97,0.954,0.948,0.964,0.972,0.942
55,0.962,0.96,0.948,0.974,0.952,0.942,0.964,0.966,0.93
56,0.958,0.964,0.958,0.974,0.97,0.95,0.96,0.964,0.912
57,0.946,0.94,0.954,0.964,0.954,0.926,0.952,0.952,0.932
58,0.96,0.956,0.958,0.968,0.95,0.938,0.95,0.96,0.932
59,0.948,0.95,0.95,0.962,0.94,0.932,0.952,0.956,0.93
60,0.968,0.972,0.964,0.984,0.964,0.954,0.962,0.968,0.898
61,0.964,0.96,0.944,0.974,0.95,0.944,0.954,0.958,0.924
62,0.934,0.934,0.954,0.964,0.942,0.932,0.946,0.952,0.932
63,0.948,0.944,0.95,0.956,0.942,0.956,0.968,0.962,0.924
64,0.948,0.948,0.938,0.958,0.946,0.938,0.948,0.946,0.88
65,0.942,0.938,0.95,0.964,0.95,0.922,0.958,0.96,0.934
66,0.938,0.932,0.93,0.954,0.936,0.93,0.932,0.942,0.9
67,0.938,0.94,0.942,0.958,0.942,0.922,0.934,0.938,0.938
68,0.954,0.948,0.952,0.966,0.954,0.906,0.934,0.94,0.928
69,0.946,0.948,0.954,0.978,0.946,0.946,0.964,0.962,0.952
70,0.948,0.946,0.952,0.958,0.948,0.936,0.944,0.944,0.924
71,0.946,0.942,0.95,0.964,0.944,0.926,0.948,0.948,0.822
72,0.954,0.95,0.946,0.97,0.94,0.926,0.964,0.954,0.86
73,0.952,0.944,0.95,0.968,0.942,0.956,0.952,0.95,0.954
74,0.91,0.91,0.938,0.93,0.904,0.934,0.93,0.928,0.906
75,0.962,0.962,0.962,0.976,0.952,0.938,0.964,0.962,0.924
76,0.944,0.954,0.948,0.972,0.952,0.94,0.94,0.948,0.94
77,0.956,0.954,0.958,0.97,0.956,0.94,0.958,0.962,0.94
78,0.952,0.952,0.94,0.968,0.938,0.93,0.946,0.948,0.944
79,0.942,0.942,0.944,0.96,0.93,0.922,0.946,0.95,0.872
80,0.952,0.94,0.948,0.966,0.936,0.944,0.952,0.964,0.89
81,0.936,0.948,0.944,0.97,0.936,0.932,0.954,0.956,0.908
82,0.938,0.938,0.952,0.96,0.936,0.942,0.954,0.954,0.934
83,0.95,0.95,0.954,0.968,0.948,0.916,0.942,0.948,0.928
84,0.926,0.938,0.954,0.966,0.936,0.924,0.958,0.956,0.946
85,0.944,0.936,0.942,0.958,0.936,0.946,0.946,0.958,0.95
86,0.97,0.968,0.952,0.978,0.968,0.948,0.958,0.966,0.94
