,GCUW,DWM,Batch_I,ARF,AEE,LeverBagg,OzaBagg,SRP,oBoost
1,0.724,0.724,0.452,0.724,0.724,0.82,0.818,0.714,0.736
2,0.544,0.548,0.65,0.616,0.546,0.626,0.634,0.578,0.456
3,0.48,0.548,0.608,0.566,0.53,0.524,0.568,0.538,0.562
4,0.828,0.542,0.84,0.822,0.84,0.862,0.824,0.792,0.802
5,0.56,0.49,0.648,0.646,0.618,0.688,0.698,0.556,0.486
6,0.832,0.408,0.608,0.668,0.606,0.382,0.628,0.592,0.414
7,0.63,0.85,0.894,0.926,0.862,0.886,0.896,0.864,0.852
8,0.85,0.344,0.64,0.814,0.408,0.564,0.626,0.72,0.344
9,0.54,0.128,0.638,0.724,0.692,0.118,0.534,0.52,0.932
10,0.804,0.804,0.94,0.874,0.82,0.864,0.868,0.824,0.804
11,0.466,0.284,0.836,0.76,0.284,0.476,0.656,0.76,0.378
12,0.508,0.662,0.62,0.628,0.466,0.612,0.586,0.59,0.32
13,0.598,0.41,0.752,0.634,0.624,0.368,0.758,0.866,0.858
14,0.716,0.742,0.848,0.764,0.678,0.78,0.848,0.9,0.678
15,0.444,0.562,0.606,0.648,0.564,0.546,0.786,0.872,0.552
16,0.806,0.66,0.926,0.888,0.794,0.81,0.886,0.922,0.772
17,0.51,0.526,0.564,0.802,0.572,0.546,0.89,0.938,0.5
18,0.84,0.818,0.928,0.918,0.792,0.842,0.894,0.886,0.526
19,0.702,0.338,0.814,0.716,0.668,0.65,0.66,0.694,0.386
20,0.398,0.404,0.598,0.522,0.506,0.564,0.576,0.614,0.56
21,0.622,0.598,0.754,0.79,0.66,0.654,0.866,0.888,0.452
22,0.476,0.462,0.768,0.804,0.686,0.442,0.88,0.92,0.44
23,0.664,0.532,0.694,0.892,0.618,0.666,0.88,0.906,0.542
24,0.78,0.76,0.912,0.872,0.79,0.85,0.85,0.768,0.488
25,0.486,0.514,0.542,0.564,0.49,0.594,0.596,0.576,0.5
26,0.7,0.408,0.758,0.536,0.656,0.384,0.828,0.878,0.394
27,0.766,0.68,0.718,0.82,0.64,0.638,0.844,0.896,0.444
28,0.776,0.384,0.73,0.9,0.644,0.73,0.878,0.856,0.54
29,0.34,0.542,0.584,0.642,0.558,0.508,0.58,0.564,0.358
30,0.458,0.532,0.648,0.808,0.652,0.688,0.79,0.75,0.526
31,0.718,0.656,0.684,0.808,0.648,0.696,0.86,0.81,0.514
32,0.58,0.54,0.47,0.602,0.502,0.586,0.608,0.614,0.404
33,0.666,0.564,0.642,0.81,0.594,0.68,0.728,0.692,0.462
34,0.614,0.548,0.522,0.726,0.462,0.716,0.722,0.688,0.522
35,0.652,0.404,0.438,0.542,0.462,0.63,0.616,0.64,0.41
36,0.558,0.814,0.474,0.822,0.788,0.862,0.87,0.814,0.356
37,0.668,0.768,0.284,0.806,0.75,0.822,0.8,0.8,0.328
38,0.592,0.498,0.288,0.806,0.708,0.698,0.766,0.694,0.302
39,0.914,0.864,0.582,0.922,0.87,0.914,0.902,0.87,0.13
40,0.792,0.8,0.342,0.85,0.792,0.81,0.828,0.796,0.35
41,0.852,0.326,0.49,0.858,0.852,0.55,0.788,0.8,0.322
42,0.902,0.902,0.67,0.926,0.902,0.904,0.91,0.908,0.262
43,0.896,0.866,0.546,0.93,0.874,0.91,0.906,0.876,0.874
44,0.82,0.676,0.312,0.902,0.816,0.83,0.838,0.782,0.686
45,0.916,0.922,0.696,0.97,0.916,0.91,0.9,0.908,0.086
46,0.918,0.922,0.684,0.988,0.918,0.94,0.924,0.886,0.192
47,0.782,0.662,0.386,0.912,0.878,0.878,0.868,0.822,0.408
48,0.23,0.468,0.396,0.272,0.326,0.388,0.292,0.312,0.686
49,0.334,0.734,0.538,0.764,0.266,0.754,0.768,0.74,0.752
50,0.474,0.69,0.672,0.78,0.308,0.67,0.824,0.802,0.688
51,0.48,0.798,0.45,0.922,0.168,0.876,0.926,0.942,0.724
52,0.558,0.548,0.814,0.716,0.428,0.684,0.682,0.722,0.712
53,0.758,0.48,0.54,0.596,0.48,0.474,0.608,0.798,0.48
54,0.51,0.388,0.57,0.916,0.166,0.834,0.892,0.868,0.844
55,0.67,0.412,0.824,0.684,0.842,0.536,0.756,0.832,0.398
56,0.694,0.168,0.41,0.606,0.17,0.134,0.528,0.49,0.92
57,0.664,0.82,0.708,0.95,0.578,0.88,0.888,0.828,0.82
58,0.624,0.226,0.59,0.804,0.602,0.798,0.816,0.826,0.376
59,0.698,0.716,0.742,0.8,0.61,0.714,0.784,0.778,0.58
60,0.66,0.814,0.67,0.952,0.716,0.826,0.918,0.95,0.798
61,0.402,0.446,0.714,0.552,0.736,0.618,0.536,0.584,0.39
62,0.782,0.236,0.646,0.782,0.678,0.494,0.858,0.836,0.854
63,0.512,0.488,0.718,0.81,0.696,0.584,0.88,0.886,0.482
64,0.89,0.774,0.654,0.868,0.742,0.586,0.88,0.804,0.552
65,0.768,0.722,0.792,0.886,0.79,0.818,0.79,0.774,0.672
66,0.776,0.712,0.762,0.828,0.698,0.724,0.826,0.778,0.698
67,0.564,0.504,0.714,0.648,0.6,0.584,0.626,0.636,0.45
68,0.728,0.238,0.804,0.398,0.804,0.178,0.848,0.902,0.836
69,0.716,0.506,0.646,0.696,0.608,0.592,0.888,0.884,0.502
70,0.83,0.764,0.864,0.94,0.8,0.83,0.84,0.826,0.724
71,0.77,0.712,0.836,0.806,0.678,0.744,0.754,0.75,0.65
72,0.608,0.622,0.714,0.688,0.622,0.676,0.692,0.668,0.564
73,0.714,0.696,0.732,0.752,0.612,0.65,0.892,0.86,0.62
74,0.606,0.684,0.85,0.836,0.706,0.742,0.846,0.814,0.672
75,0.498,0.542,0.724,0.7,0.574,0.69,0.704,0.676,0.5
76,0.592,0.712,0.788,0.868,0.672,0.794,0.92,0.832,0.512
77,0.5,0.598,0.65,0.742,0.594,0.556,0.7,0.726,0.5
78,0.686,0.672,0.648,0.834,0.596,0.742,0.796,0.698,0.474
79,0.626,0.588,0.528,0.654,0.468,0.654,0.63,0.62,0.428
80,0.782,0.31,0.56,0.684,0.326,0.616,0.7,0.684,0.288
81,0.86,0.772,0.46,0.76,0.756,0.788,0.79,0.776,0.752
82,0.562,0.698,0.196,0.728,0.694,0.77,0.756,0.766,0.634
83,0.758,0.298,0.53,0.792,0.792,0.472,0.802,0.774,0.27
84,0.882,0.834,0.51,0.886,0.842,0.866,0.878,0.856,0.832
85,0.786,0.662,0.194,0.81,0.742,0.832,0.806,0.818,0.728
86,0.878,0.148,0.63,0.838,0.862,0.338,0.872,0.834,0.758
87,0.882,0.84,0.49,0.904,0.844,0.88,0.91,0.896,0.288
88,0.72,0.526,0.344,0.912,0.832,0.776,0.886,0.892,0.376
89,0.922,0.942,0.694,0.952,0.95,0.964,0.942,0.96,0.404
90,0.924,0.92,0.572,0.954,0.92,0.928,0.946,0.93,0.098
91,0.838,0.838,0.276,0.926,0.834,0.912,0.892,0.868,0.834
92,0.594,0.642,0.408,0.296,0.22,0.37,0.31,0.328,0.334
93,0.698,0.744,0.584,0.746,0.248,0.786,0.788,0.434,0.744
94,0.666,0.712,0.692,0.724,0.284,0.69,0.786,0.756,0.7
95,0.898,0.828,0.47,0.888,0.18,0.87,0.926,0.926,0.76
96,0.808,0.762,0.752,0.878,0.48,0.776,0.886,0.868,0.764
97,0.906,0.84,0.482,0.96,0.162,0.87,0.928,0.888,0.842
98,0.794,0.656,0.806,0.78,0.7,0.75,0.762,0.708,0.642
99,0.93,0.478,0.528,0.594,0.478,0.47,0.596,0.67,0.516
