,DSFA,hat,awe,dwm,arf,aee,batch_incre
1,0.54,0.44,0.44,0.54,0.58,0.54,0.56
2,0.47,0.49,0.47,0.54,0.51,0.47,0.47
3,0.46,0.48,0.48,0.47,0.46,0.46,0.41
4,0.45,0.47,0.44,0.5,0.48,0.45,0.39
5,0.41,0.43,0.57,0.41,0.45,0.41,0.56
6,0.45,0.43,0.49,0.43,0.57,0.45,0.44
7,0.47,0.55,0.55,0.49,0.49,0.47,0.51
8,0.54,0.51,0.51,0.53,0.45,0.54,0.47
9,0.53,0.53,0.53,0.54,0.51,0.57,0.47
10,0.55,0.48,0.48,0.48,0.56,0.55,0.47
11,0.42,0.45,0.5,0.51,0.47,0.42,0.55
12,0.49,0.49,0.51,0.56,0.46,0.52,0.53
13,0.42,0.48,0.52,0.4,0.48,0.42,0.49
14,0.58,0.46,0.54,0.52,0.61,0.58,0.51
15,0.56,0.57,0.57,0.56,0.6,0.56,0.56
16,0.51,0.51,0.53,0.55,0.44,0.51,0.52
17,0.57,0.56,0.56,0.51,0.55,0.57,0.4
18,0.46,0.49,0.49,0.49,0.52,0.46,0.47
19,0.55,0.52,0.52,0.48,0.57,0.55,0.52
20,0.55,0.55,0.53,0.53,0.47,0.55,0.53
21,0.57,0.58,0.59,0.54,0.5,0.57,0.5
22,0.47,0.49,0.48,0.51,0.5,0.47,0.53
23,0.47,0.46,0.45,0.54,0.44,0.47,0.5
24,0.58,0.58,0.53,0.53,0.63,0.58,0.48
25,0.53,0.49,0.49,0.54,0.53,0.53,0.49
26,0.48,0.41,0.43,0.55,0.5,0.48,0.47
27,0.44,0.49,0.49,0.48,0.45,0.44,0.48
28,0.51,0.4,0.51,0.55,0.46,0.51,0.56
29,0.51,0.48,0.54,0.51,0.56,0.51,0.54
30,0.59,0.52,0.51,0.51,0.43,0.59,0.53
31,0.52,0.55,0.55,0.51,0.46,0.52,0.42
32,0.46,0.48,0.42,0.4,0.52,0.46,0.47
33,0.43,0.51,0.6,0.41,0.56,0.43,0.44
34,0.45,0.51,0.57,0.56,0.44,0.5,0.48
35,0.49,0.55,0.6,0.6,0.54,0.48,0.45
36,0.57,0.54,0.52,0.49,0.47,0.54,0.48
37,0.49,0.61,0.57,0.48,0.62,0.56,0.54
38,0.49,0.49,0.47,0.5,0.45,0.49,0.41
39,0.6,0.66,0.55,0.47,0.59,0.55,0.48
40,0.45,0.48,0.62,0.54,0.49,0.6,0.47
41,0.48,0.47,0.47,0.47,0.43,0.47,0.5
42,0.58,0.57,0.46,0.55,0.53,0.54,0.45
43,0.57,0.56,0.54,0.55,0.51,0.47,0.46
44,0.57,0.59,0.46,0.54,0.5,0.55,0.5
45,0.58,0.56,0.51,0.46,0.49,0.55,0.5
46,0.5,0.5,0.49,0.53,0.53,0.46,0.57
47,0.46,0.49,0.51,0.44,0.66,0.5,0.55
48,0.58,0.55,0.56,0.57,0.58,0.51,0.58
49,0.48,0.46,0.47,0.48,0.5,0.52,0.53
50,0.49,0.48,0.55,0.56,0.52,0.4,0.53
51,0.42,0.57,0.58,0.5,0.59,0.42,0.44
52,0.5,0.41,0.58,0.42,0.53,0.5,0.53
53,0.43,0.43,0.53,0.52,0.44,0.46,0.49
54,0.39,0.42,0.48,0.54,0.46,0.37,0.47
55,0.48,0.44,0.44,0.55,0.51,0.44,0.48
56,0.48,0.55,0.49,0.56,0.54,0.38,0.45
57,0.47,0.58,0.56,0.55,0.55,0.46,0.62
58,0.54,0.41,0.55,0.45,0.41,0.48,0.51
59,0.49,0.55,0.51,0.5,0.49,0.5,0.5
60,0.51,0.52,0.56,0.45,0.56,0.42,0.47
61,0.58,0.48,0.47,0.51,0.53,0.53,0.45
62,0.49,0.44,0.56,0.55,0.5,0.42,0.5
63,0.59,0.6,0.66,0.5,0.47,0.5,0.48
64,0.55,0.45,0.49,0.49,0.53,0.46,0.48
65,0.5,0.55,0.56,0.53,0.51,0.5,0.49
66,0.43,0.5,0.5,0.49,0.48,0.46,0.54
67,0.45,0.55,0.56,0.53,0.56,0.54,0.46
68,0.39,0.4,0.61,0.47,0.4,0.37,0.56
69,0.51,0.56,0.48,0.44,0.48,0.43,0.44
70,0.47,0.47,0.44,0.44,0.49,0.52,0.48
71,0.6,0.43,0.46,0.48,0.43,0.44,0.45
72,0.42,0.53,0.46,0.46,0.41,0.48,0.43
73,0.5,0.47,0.51,0.4,0.44,0.55,0.55
